ID,GENDER,INCOME,FAMILY_STATUS,HOUSING_TYPE,FAM_MEMBERS,STATUS
5008930,F,297000,Single,Rent,1,C
5008931,F,297000,Single,Rent,1,C
5008932,F,297000,Single,Rent,1,C
5008933,F,297000,Single,Rent,1,C
5008934,F,297000,Single,Rent,1,C
5008935,F,297000,Single,Rent,1,0
5008936,F,297000,Single,Rent,1,0
5008937,F,297000,Single,Rent,1,0
5008938,F,297000,Single,Rent,1,0
5008939,F,297000,Single,Rent,1,0
5008940,F,297000,Single,Rent,1,0
5008941,F,297000,Single,Rent,1,0
6153773,F,297000,Single,Rent,1,0
6153774,F,297000,Single,Rent,1,0
6153775,F,297000,Single,Rent,1,0
5008942,F,157500,Married,House,2,0
5008943,F,157500,Married,House,2,0
5008944,F,157500,Married,House,2,0
5008945,F,157500,Married,House,2,0
5008946,F,157500,Married,House,2,0
5008947,M,135000,Married,House,2,0
5008948,M,135000,Married,House,2,0
5008949,M,135000,Married,House,2,C
5008950,M,135000,Married,House,2,C
5008951,M,225000,Married,House,3,C
5008952,M,225000,Married,House,3,0
5008953,M,225000,Married,House,3,0
5008954,M,225000,Married,House,3,0
5008955,F,135000,Married,House,2,0
5008956,F,135000,Married,House,2,0
5008957,F,135000,Married,House,2,1
5008958,F,135000,Married,House,2,X
5008959,F,135000,Married,House,2,0
5008960,F,135000,Married,House,2,X
5008962,F,135000,Married,House,2,1
5008963,F,135000,Married,House,2,X
5008966,M,157500,Married,House,2,0
5008967,M,157500,Married,House,2,X
5008971,M,157500,Married,House,2,X
5008973,M,157500,Married,House,2,X
5008974,F,112500,Married,House,2,0
5008975,F,112500,Married,House,2,0
5008976,F,112500,Married,House,2,0
5008977,F,112500,Married,House,2,X
5008978,F,112500,Married,House,2,0
5008979,F,112500,Married,House,2,0
5008980,F,112500,Married,House,2,0
5008981,M,112500,Married,House,2,0
5008983,M,112500,Married,House,2,0
5008984,M,112500,Married,House,2,0
5008986,M,112500,Married,House,2,X
5008987,M,112500,Married,House,2,0
5008988,M,112500,Married,House,2,X
6153800,M,112500,Married,House,2,0
5008991,F,270000,Separated,House,1,0
5008992,F,270000,Separated,House,1,0
5008993,F,270000,Separated,House,1,0
5008994,F,270000,Separated,House,1,0
5008995,F,270000,Separated,House,1,0
5112861,F,270000,Separated,House,1,0
6153801,F,270000,Separated,House,1,X
5008998,F,270000,Married,House,2,C
5008999,F,270000,Married,House,2,C
5009000,M,157500,Married,House,2,C
6153549,M,157500,Married,House,2,C
5009001,M,166500,Married,House,2,C
5009002,M,166500,Married,House,2,C
5009005,M,166500,Married,House,2,C
5009006,M,166500,Married,House,2,C
5009007,M,166500,Married,House,2,C
5009008,M,166500,Married,House,2,C
5009009,M,166500,Married,House,2,C
5009010,M,166500,Married,House,2,C
5009012,M,166500,Married,House,2,C
5009014,M,166500,Married,House,2,C
6153574,M,166500,Married,House,2,C
6153575,M,166500,Married,House,2,C
6153576,M,166500,Married,House,2,C
6153578,M,166500,Married,House,2,C
5009016,F,216000,Married,House,4,C
5009018,F,216000,Married,House,4,C
5009019,F,216000,Married,House,4,C
5009020,F,216000,Married,House,4,C
5009022,F,216000,Married,House,4,C
5009023,F,216000,Married,House,4,C
5009024,F,216000,Married,House,4,C
5009025,F,216000,Married,House,4,C
6153579,F,216000,Married,House,4,C
6153580,F,216000,Married,House,4,C
5009027,F,270000,Married,House,2,C
5112862,F,270000,Married,House,2,C
5009028,F,225000,Married,House,2,C
5009029,F,225000,Married,House,2,C
5009031,F,315000,Single,House,1,C
5009032,F,315000,Single,House,1,C
6153669,F,315000,Single,House,1,C
5009033,F,255150,Civil marriage,Rent,2,C
5009034,F,255150,Civil marriage,Rent,2,C
5009035,F,255150,Civil marriage,Rent,2,C
5009036,F,255150,Civil marriage,Rent,2,C
5009037,F,255150,Civil marriage,Rent,2,C
5009038,F,255150,Civil marriage,Rent,2,C
5009039,F,157500,Single,House,3,0
5009040,F,157500,Single,House,3,0
5009042,F,148500,Married,House,2,1
5009043,F,148500,Married,House,2,0
5009044,F,148500,Married,House,2,0
5009045,F,148500,Married,House,2,1
5009046,F,148500,Married,House,2,1
5009047,F,148500,Married,House,2,0
6153693,F,148500,Married,House,2,1
5009050,F,202500,Married,House,4,1
5009051,F,202500,Married,House,4,0
5009052,F,202500,Married,House,4,0
5009053,F,202500,Married,House,4,0
5009055,F,202500,Married,House,4,0
5009056,M,202500,Single,House,1,0
5009057,M,202500,Single,House,1,1
5009058,F,112500,Single,House,1,0
5009060,F,94500,Married,House,2,1
5009062,M,315000,Civil marriage,House,2,0
5009063,M,315000,Civil marriage,House,2,0
5009064,M,315000,Civil marriage,House,2,0
5009065,M,315000,Civil marriage,House,2,0
5009066,M,315000,Civil marriage,House,2,0
5009067,M,315000,Civil marriage,House,2,0
5009068,M,315000,Civil marriage,House,2,0
5009069,M,315000,Civil marriage,House,2,0
5009070,M,315000,Civil marriage,House,2,0
5009071,F,270000,Civil marriage,Municipal apartment,2,0
5009072,F,270000,Civil marriage,Municipal apartment,2,0
6153722,F,270000,Civil marriage,Municipal apartment,2,0
5009074,F,450000,Married,House,3,0
5009075,F,450000,Married,House,3,0
5009078,M,180000,Married,With parents,3,0
5009079,F,112500,Civil marriage,House,2,0
5009080,F,112500,Civil marriage,House,2,0
5009081,F,112500,Civil marriage,House,2,0
5009083,M,90000,Married,House,2,0
5009084,M,90000,Married,House,2,0
6153724,M,90000,Married,House,2,X
6153738,M,90000,Married,House,2,X
5009088,M,202500,Married,House,4,X
5009089,M,202500,Married,House,4,X
6153739,M,202500,Married,House,4,X
6153740,M,202500,Married,House,4,X
5009090,M,247500,Married,House,2,X
5009092,M,765000,Married,House,3,X
5009094,M,765000,Married,House,3,X
5009095,M,765000,Married,House,3,X
6153741,M,765000,Married,House,3,X
5009096,F,270000,Married,House,3,X
5009097,F,270000,Married,House,3,X
5009098,F,270000,Married,House,3,X
5009099,F,315000,Separated,House,1,X
5009100,F,315000,Separated,House,1,X
5009103,M,157500,Married,With parents,4,X
5009104,M,157500,Married,With parents,4,X
5009105,M,157500,Married,With parents,4,X
5009106,M,157500,Married,With parents,4,X
5112876,M,157500,Married,With parents,4,X
5009108,M,360000,Married,House,2,X
5009109,M,360000,Married,House,2,0
5009110,F,112500,Married,House,2,0
5009116,F,157500,Separated,With parents,1,0
5009117,F,157500,Separated,With parents,1,0
5009118,F,157500,Separated,With parents,1,0
5009120,F,157500,Separated,With parents,1,0
5009122,F,157500,Separated,With parents,1,0
5009123,F,157500,Separated,With parents,1,0
5009124,F,157500,Separated,With parents,1,X
5009125,F,157500,Separated,With parents,1,C
5009126,F,157500,Separated,With parents,1,C
5009127,F,157500,Separated,With parents,1,C
5009128,F,157500,Separated,With parents,1,C
5009129,F,157500,Separated,With parents,1,C
5009130,F,157500,Separated,With parents,1,C
5009131,F,157500,Separated,With parents,1,C
6153757,F,157500,Separated,With parents,1,C
5009133,M,382500,Widow,House,1,C
5009134,M,382500,Widow,House,1,C
5009135,M,382500,Widow,House,1,C
5009136,M,382500,Widow,House,1,C
5009137,M,382500,Widow,House,1,C
5009138,M,382500,Widow,House,1,C
5009139,M,382500,Widow,House,1,C
5009140,M,382500,Widow,House,1,C
5009141,F,135000,Civil marriage,House,2,C
5009142,F,135000,Civil marriage,House,2,C
5009143,M,225000,Civil marriage,House,2,C
5009144,M,225000,Civil marriage,House,2,C
5009145,M,315000,Married,House,2,C
5009146,M,315000,Married,House,2,C
5009147,M,315000,Married,House,2,X
5009149,M,315000,Married,House,2,X
5009150,M,315000,Married,House,2,X
6153802,M,315000,Married,House,2,X
6153803,M,315000,Married,House,2,X
5009151,F,180000,Married,House,2,X
5009152,F,180000,Married,House,2,X
5009153,F,180000,Married,House,2,X
5009154,F,180000,Married,House,2,X
5009155,F,180000,Married,House,2,0
5009156,F,180000,Married,House,2,0
5009157,F,180000,Married,House,2,0
5009158,F,180000,Married,House,2,0
5009159,F,180000,Married,House,2,0
5009160,F,180000,Married,House,2,0
5009161,F,180000,Married,House,2,0
5009162,F,180000,Married,House,2,X
5009163,F,157500,Married,House,2,C
5009164,F,157500,Married,House,2,C
5009165,F,157500,Married,House,2,C
5009166,F,157500,Married,House,2,C
5009168,F,157500,Married,House,2,C
6153804,F,157500,Married,House,2,C
5009170,F,144000,Married,House,2,C
5009177,M,229500,Married,Co-op apartment,2,C
5009178,M,229500,Married,Co-op apartment,2,C
5009179,M,229500,Married,Co-op apartment,2,C
5009180,M,229500,Married,Co-op apartment,2,C
5009181,M,229500,Married,Co-op apartment,2,C
5009182,M,229500,Married,Co-op apartment,2,C
5009183,M,229500,Married,Co-op apartment,2,C
6153806,M,229500,Married,Co-op apartment,2,C
5009186,F,270000,Married,House,2,C
5009187,F,270000,Married,House,2,C
5009188,F,270000,Married,House,2,C
5009189,F,270000,Married,House,2,C
5009190,F,270000,Married,House,2,C
5009191,F,270000,Married,House,2,C
5009192,F,270000,Married,House,2,C
5009193,F,270000,Married,House,2,C
5009195,F,292500,Married,House,2,C
5009196,F,292500,Married,House,2,C
5009198,F,292500,Married,House,2,C
5009201,F,292500,Married,House,2,C
5009202,F,292500,Married,House,2,C
5009203,F,292500,Married,House,2,C
5009204,F,292500,Married,House,2,C
5009205,F,292500,Married,House,2,C
5009206,F,292500,Married,House,2,C
5009207,F,292500,Married,House,2,C
5009208,F,292500,Married,House,2,0
5009209,F,292500,Married,House,2,0
5009210,F,292500,Married,House,2,0
6153808,F,292500,Married,House,2,0
6153809,F,292500,Married,House,2,0
5009213,F,270000,Married,House,2,0
5009215,F,270000,Married,House,2,0
5009216,F,270000,Married,House,2,C
5009217,F,270000,Married,House,2,0
6153550,F,270000,Married,House,2,0
6153551,F,270000,Married,House,2,0
5009220,F,225000,Married,House,2,0
5009222,F,225000,Married,House,2,0
5009223,F,225000,Married,House,2,0
5009224,F,225000,Married,House,2,C
5009225,F,225000,Married,House,2,C
5009226,F,225000,Married,House,2,C
5009227,F,225000,Married,House,2,C
5009232,F,225000,Married,House,2,C
5009233,F,225000,Married,House,2,C
5009234,F,225000,Married,House,2,C
5009236,F,225000,Married,House,2,C
6153552,F,225000,Married,House,2,C
6153554,F,225000,Married,House,2,C
6153555,F,225000,Married,House,2,C
5009238,M,157500,Married,With parents,2,C
5009239,M,157500,Married,With parents,2,C
5009240,M,157500,Married,With parents,2,C
5009241,M,157500,Married,With parents,2,C
6153556,M,157500,Married,With parents,2,C
5009242,F,74250,Separated,Municipal apartment,1,C
5009243,F,74250,Separated,Municipal apartment,1,C
5009244,F,74250,Separated,Municipal apartment,1,C
5009246,F,135000,Married,House,2,C
5009247,F,135000,Married,House,2,C
5009248,F,135000,Married,House,2,C
5009249,M,135000,Married,House,3,C
5009250,M,135000,Married,House,3,C
5009251,M,135000,Married,House,3,C
5009252,M,135000,Married,House,3,C
5009253,M,135000,Married,House,3,C
6153557,M,135000,Married,House,3,C
5009255,F,144000,Single,House,1,C
5009257,F,144000,Single,House,1,C
5009258,F,144000,Single,House,1,C
5009260,F,202500,Married,With parents,2,C
5009261,F,202500,Married,With parents,2,C
5009262,F,202500,Married,With parents,2,C
5009263,F,202500,Married,With parents,2,C
6153558,F,202500,Married,With parents,2,C
5009264,F,40500,Single,House,1,C
5009265,M,337500,Married,With parents,2,C
5009266,M,337500,Married,With parents,2,C
5009267,M,337500,Married,With parents,2,C
5009268,M,337500,Married,With parents,2,C
5009269,M,337500,Married,With parents,2,C
5009270,M,180000,Married,Municipal apartment,2,C
5009271,M,180000,Married,Municipal apartment,2,C
5009272,M,180000,Married,Municipal apartment,2,C
5009274,M,180000,Married,Municipal apartment,2,C
5009275,M,180000,Married,Municipal apartment,2,C
5009276,M,180000,Married,Municipal apartment,2,C
5009277,M,180000,Married,Municipal apartment,2,C
5009278,F,130500,Civil marriage,House,2,C
5009279,F,130500,Civil marriage,House,2,C
5009280,F,130500,Civil marriage,House,2,C
5009281,F,130500,Civil marriage,House,2,C
5009284,F,130500,Civil marriage,House,2,C
5009285,F,130500,Civil marriage,House,2,C
5009286,F,130500,Civil marriage,House,2,C
5009287,F,130500,Civil marriage,House,2,0
5009289,F,130500,Civil marriage,House,2,0
5009290,F,130500,Civil marriage,House,2,0
5009291,F,130500,Civil marriage,House,2,0
5009292,F,130500,Civil marriage,House,2,0
5009293,F,130500,Civil marriage,House,2,X
5009294,F,130500,Civil marriage,House,2,X
5009295,F,144000,Married,House,2,X
5009296,F,144000,Married,House,2,X
5009297,F,193500,Single,Municipal apartment,1,X
5009299,F,193500,Single,Municipal apartment,1,X
5009300,F,193500,Single,Municipal apartment,1,X
5009301,F,193500,Single,Municipal apartment,1,X
6153561,F,193500,Single,Municipal apartment,1,X
5009302,F,112500,Widow,House,1,X
5009303,F,112500,Widow,House,1,X
5009304,F,112500,Widow,House,1,X
5009305,F,112500,Widow,House,1,X
5009306,F,135000,Married,House,2,X
5009307,F,135000,Married,House,2,X
5009308,F,135000,Married,House,2,X
5009309,F,135000,Married,House,2,X
5009310,F,135000,Married,House,2,X
5009311,F,135000,Married,House,2,X
5009312,F,135000,Married,House,2,X
5009313,F,135000,Married,House,2,X
5009314,F,135000,Married,House,2,X
5009315,F,135000,Married,House,2,X
5009316,F,135000,Married,House,2,X
5009317,F,135000,Married,House,2,X
5009318,F,135000,Married,House,2,X
5009319,F,135000,Married,House,2,X
5009325,M,267750,Married,House,2,X
5009327,M,267750,Married,House,2,X
5009328,M,267750,Married,House,2,X
5009329,M,267750,Married,House,2,X
5009330,M,267750,Married,House,2,X
5009331,M,267750,Married,House,2,X
5009332,M,267750,Married,House,2,X
5009333,M,267750,Married,House,2,X
5009335,F,139500,Separated,House,1,X
5009336,F,139500,Separated,House,1,X
5009337,F,139500,Separated,House,1,X
6153581,F,139500,Separated,House,1,X
5009338,M,67500,Married,House,2,X
5009339,M,67500,Married,House,2,X
5009340,M,252000,Married,House,2,X
5009341,M,252000,Married,House,2,X
5009342,M,252000,Married,House,2,X
5009343,M,252000,Married,House,2,X
5009344,M,252000,Married,House,2,X
5009345,M,252000,Married,House,2,X
5009346,M,252000,Married,House,2,X
5009349,M,180000,Married,House,2,X
5009354,M,180000,Married,House,2,X
6153582,M,180000,Married,House,2,X
6153584,M,180000,Married,House,2,X
5009355,F,135000,Married,House,2,X
5009358,F,135000,Married,House,2,X
5009359,F,900000,Single,House,1,X
5009360,F,900000,Single,House,1,X
5009361,M,180000,Civil marriage,House,2,X
5009362,M,180000,Civil marriage,House,2,X
5009363,M,180000,Civil marriage,House,2,0
5009364,M,180000,Civil marriage,House,2,0
5009365,M,180000,Civil marriage,House,2,0
5009366,M,180000,Civil marriage,House,2,C
5009367,M,180000,Civil marriage,House,2,C
5009368,M,115290,Married,House,2,C
5009369,M,115290,Married,House,2,C
5009370,M,115290,Married,House,2,C
5009371,M,115290,Married,House,2,C
5009372,M,115290,Married,House,2,C
5009373,M,115290,Married,House,2,C
6153586,M,115290,Married,House,2,C
6153587,M,115290,Married,House,2,C
5009378,F,225000,Married,House,4,C
6153588,F,225000,Married,House,4,C
6153589,F,225000,Married,House,4,C
5009379,M,135000,Married,House,3,C
5009380,M,135000,Married,House,3,C
5009381,M,135000,Married,House,3,C
5009382,M,135000,Married,House,3,C
6153590,M,135000,Married,House,3,C
5009383,F,450000,Married,House,2,C
5009384,F,450000,Married,House,2,C
5009386,F,450000,Married,House,2,C
5009387,F,450000,Married,House,2,C
5009389,M,279000,Single,House,1,C
5009391,M,279000,Single,House,1,0
5009392,M,279000,Single,House,1,C
5009393,M,279000,Single,House,1,C
5009394,M,279000,Single,House,1,C
5009395,M,279000,Single,House,1,C
6153591,M,279000,Single,House,1,C
6153592,M,279000,Single,House,1,C
5009396,F,76500,Civil marriage,House,3,C
5009397,F,76500,Civil marriage,House,3,C
5009398,F,76500,Civil marriage,House,3,C
5009399,F,76500,Civil marriage,House,3,C
5009400,F,76500,Civil marriage,House,3,C
5009401,F,76500,Civil marriage,House,3,C
5009402,M,202500,Married,House,2,C
5009403,M,202500,Married,House,2,C
5009404,F,67500,Married,House,4,C
6153594,F,67500,Married,House,4,C
5009405,M,234000,Married,House,2,C
5009406,M,234000,Married,House,2,C
5009408,M,234000,Married,House,2,C
5009410,M,234000,Married,House,2,C
5112901,M,234000,Married,House,2,0
5009415,F,90000,Single,House,1,0
5009416,F,90000,Single,House,1,0
5009417,F,90000,Single,House,1,0
5009418,F,90000,Single,House,1,C
5009419,F,90000,Single,House,1,C
5009420,F,90000,Single,House,1,C
5009421,F,90000,Single,House,1,C
6153606,F,90000,Single,House,1,C
6153607,F,90000,Single,House,1,C
5009423,F,81000,Civil marriage,House,2,C
5009424,M,108000,Single,Co-op apartment,1,C
5009425,M,108000,Single,Co-op apartment,1,C
5009426,M,99000,Married,House,2,C
5009427,M,99000,Married,House,2,0
5009428,M,198000,Single,With parents,1,0
5009429,M,198000,Single,With parents,1,0
5009431,M,360000,Married,Municipal apartment,2,0
6153608,M,360000,Married,Municipal apartment,2,0
5009435,F,135000,Married,House,2,0
5090746,F,135000,Married,House,2,0
5009436,F,76500,Married,House,2,0
5009437,F,76500,Married,House,2,0
5009438,F,76500,Married,House,2,0
5009439,F,76500,Married,House,2,0
5009440,F,76500,Married,House,2,0
5009441,F,90000,Married,House,2,C
5009442,F,90000,Married,House,2,C
5009443,F,90000,Married,House,2,C
5009444,F,90000,Married,House,2,C
6153611,F,90000,Married,House,2,C
5009445,F,270000,Civil marriage,House,2,C
6153612,F,270000,Civil marriage,House,2,C
5009447,M,81000,Married,With parents,2,C
5009448,M,81000,Married,With parents,2,C
6153613,M,81000,Married,With parents,2,C
5009450,F,202500,Married,House,2,C
5009451,F,202500,Married,House,2,C
5009452,F,202500,Married,House,2,C
5009453,F,202500,Married,House,2,C
5009454,F,202500,Married,House,2,C
5009455,F,202500,Married,House,2,C
5009456,F,202500,Married,House,2,C
5009457,F,202500,Married,House,2,C
5009458,F,202500,Married,House,2,C
6153614,F,202500,Married,House,2,C
6153615,F,202500,Married,House,2,C
5009459,F,157500,Married,House,2,C
5009460,F,157500,Married,House,2,C
5009465,F,157500,Married,House,2,C
5009466,F,157500,Married,House,2,C
5009468,F,157500,Married,House,2,C
5009469,F,157500,Married,House,2,C
5009470,F,157500,Married,House,2,C
5009471,F,157500,Married,House,2,C
5009472,F,157500,Married,House,2,C
6153617,F,157500,Married,House,2,C
5009473,F,180000,Married,House,2,C
5009481,F,180000,Married,House,2,0
5009482,F,180000,Married,House,2,0
6153627,F,180000,Married,House,2,0
6153630,F,180000,Married,House,2,0
5009484,F,135000,Married,Municipal apartment,2,0
5009485,F,135000,Married,Municipal apartment,2,0
6153632,F,135000,Married,Municipal apartment,2,0
5009487,F,135000,Married,House,4,0
5009488,F,135000,Married,House,4,0
5009489,F,135000,Married,House,4,0
5009490,M,135000,Married,House,2,0
5009492,M,135000,Married,House,2,0
6153634,M,135000,Married,House,2,C
5009493,M,270000,Married,House,2,C
5009494,M,270000,Married,House,2,C
5009495,M,270000,Married,House,2,C
5009497,M,270000,Married,House,2,C
5009498,M,270000,Married,House,2,C
5009499,M,270000,Married,House,2,C
5009500,M,270000,Married,House,2,C
5009501,M,270000,Married,House,2,C
5009502,M,270000,Married,House,2,C
5009503,M,270000,Married,House,2,C
6153635,M,270000,Married,House,2,C
5009507,F,202500,Married,House,2,C
5009508,F,202500,Married,House,2,C
5009509,F,202500,Married,House,2,C
5009510,F,202500,Married,House,2,C
6153637,F,202500,Married,House,2,C
5009512,F,157500,Married,House,2,C
5009513,F,157500,Married,House,2,C
5009515,F,157500,Married,House,2,C
5009516,F,157500,Married,House,2,C
5009517,F,157500,Married,House,2,C
6153638,F,157500,Married,House,2,C
6153639,F,157500,Married,House,2,C
5009518,M,180000,Married,House,4,C
5009519,M,180000,Married,House,4,C
5009521,M,180000,Married,House,4,C
6153640,M,180000,Married,House,4,C
5009523,M,112500,Separated,Co-op apartment,2,C
5009525,M,112500,Separated,Co-op apartment,2,C
5009526,F,157500,Married,House,2,C
5009527,F,157500,Married,House,2,C
5009529,F,157500,Married,House,2,C
5009530,F,157500,Married,House,2,C
5009531,F,157500,Married,House,2,C
5009533,F,157500,Married,House,2,C
5009534,F,157500,Married,House,2,C
5009535,F,157500,Married,House,2,C
6153642,F,157500,Married,House,2,C
6153643,F,157500,Married,House,2,C
5009536,M,216000,Married,House,2,C
5009537,F,202500,Married,House,2,C
5009540,F,202500,Married,House,2,C
5009541,F,202500,Married,House,2,C
6153652,F,202500,Married,House,2,C
5009543,F,198000,Civil marriage,House,2,C
5009545,F,198000,Civil marriage,House,2,0
5009546,F,198000,Civil marriage,House,2,0
5009548,F,198000,Civil marriage,House,2,0
5009551,F,198000,Civil marriage,House,2,0
5009553,F,198000,Civil marriage,House,2,0
5009554,F,198000,Civil marriage,House,2,0
5009555,F,198000,Civil marriage,House,2,0
5009556,F,198000,Civil marriage,House,2,0
5009557,F,198000,Civil marriage,House,2,0
5009558,F,198000,Civil marriage,House,2,0
5009559,F,198000,Civil marriage,House,2,0
5009560,F,198000,Civil marriage,House,2,0
5009561,F,198000,Civil marriage,House,2,C
5009562,F,157500,Widow,House,1,C
5009563,F,157500,Widow,House,1,C
5009564,F,157500,Widow,House,1,C
6153653,F,157500,Widow,House,1,C
5009565,M,180000,Married,House,2,C
5009566,M,180000,Married,House,2,C
5009567,M,180000,Married,House,2,C
5009568,M,180000,Married,House,2,C
5009569,M,180000,Married,House,2,C
5009570,M,180000,Married,House,2,C
5009571,M,180000,Married,House,2,C
5009572,M,180000,Married,House,2,C
5009573,M,180000,Married,House,2,C
5009574,M,180000,Married,House,2,C
5009575,F,315000,Married,House,2,C
5009576,F,315000,Married,House,2,C
6153654,F,315000,Married,House,2,C
5009577,F,112500,Married,House,2,C
5009578,F,112500,Married,House,2,C
5009579,F,112500,Married,House,2,C
5009580,F,112500,Married,House,2,C
5009581,F,112500,Married,House,2,C
5009582,F,90000,Separated,House,1,C
5009583,F,90000,Separated,House,1,C
5009584,F,90000,Separated,House,1,C
5009585,F,45000,Separated,House,1,C
5009586,F,45000,Separated,House,1,C
5009590,F,225000,Married,House,2,C
5009591,F,225000,Married,House,2,C
5009592,F,112500,Single,Rent,1,C
5090748,F,112500,Single,Rent,1,C
5009593,F,144000,Married,House,2,C
5009594,F,144000,Married,House,2,C
5009595,F,144000,Married,House,2,C
5009597,F,144000,Married,House,2,C
5009599,F,144000,Married,House,2,0
5009600,F,144000,Married,House,2,0
5009602,F,315000,Married,House,2,0
6153655,F,315000,Married,House,2,0
5009603,F,112500,Married,House,3,X
5009605,F,112500,Married,House,3,0
5009606,F,112500,Married,House,3,0
5009607,F,144000,Married,House,4,0
5009608,F,144000,Married,House,4,0
5009609,F,144000,Married,House,4,0
5009610,F,144000,Married,House,4,0
5009611,F,144000,Married,House,4,C
5009612,F,144000,Married,House,4,C
5009613,F,144000,Married,House,4,C
5009614,F,144000,Married,House,4,C
6153656,F,144000,Married,House,4,C
5009617,M,225000,Married,House,2,C
5009618,M,225000,Married,House,2,C
6153657,M,225000,Married,House,2,C
5009620,M,135000,Married,House,2,C
5009622,M,135000,Married,House,2,C
